# 2MASS              f_2MASS OSpT  OSpT_flt OGrav  IRSpT    IRSpT_flt IGrav      f_IRSpT spt_flt_assumed Jmag   e_Jmag Hmag   e_Hmag Ksmag  e_Ksmag W1mag  e_W1mag W2mag  e_W2mag W3mag  e_W3mag W4mag e_W4mag Ref        Nm Nrv Nir Npm Np pmRA     e_pmRA  pmDE     e_pmDE  Plx    e_Plx Dist e_Dist RV     e_RV  E_RV u_RV Ref2   l_PBII PBII  l_CBII CBII   GBII     PL    GL       PC    GC       PBI   GBI      Mm  MCat 2M SimbadName                _RA       _DE      
  01244599-5745379   ""      L0    10       gamma  L0       10        gamma      a       10              16.308 0.104  15.059 0.088  14.32  0.088   13.773 0.026   13.342 0.032   12.449 0.313   8.908 ""      "2; 27"    "" 0   1   0   0  -0.003   0.01    0.018    0.019   ""     ""    ""   ""     ""     ""    ""   ""   2      ""     0.0   ""     99.3   COLUMBA  0.0   NONE     0.0   NONE     100.0 OLD      NM  1    2M "2MASS J01244599-5745379" 21.19198  -57.76037
  01262109+1428057   ""      L4    14       gamma  L2       12        gamma      ""      14              17.108 0.214  16.172 0.218  15.28  0.145   14.237 0.029   13.702 0.037   12.379 ""      9.127 ""      "21; 6"    "" 0   0   1   0  0.07     0.012   -0.008   0.012   ""     ""    ""   ""     ""     ""    ""   ""   1      ""     0.0   ""     99.9   "BETA PIC" 0.0   NONE     99.0  CHA-NEAR 100.0 OLD      AM  1    2M "2MASS J01262109+1428057" 21.5879   14.46826 
  01294256-0823580   ""      M5    5        -      M7       7         beta       ""      5               10.655 0.021  10.085 0.023  9.771  0.023   9.545  0.022   9.327  0.02    9.206  0.032   8.891 0.458   "17; 5"    "" 0   0   0   0  0.1007   0.0084  -0.0564  0.009   ""     ""    ""   ""     ""     ""    ""   ""   10     ""     95.9  ""     18.9   "BETA PIC" 0.0   NONE     100.0 COLUMBA  72.46 COLUMBA  AM  0    2M "2MASS J01294256-0823580" 22.42739  -8.39949 
  01415823-4633574   ""      L0    10       gamma  L0       10        gamma      ""      10              14.832 0.041  13.875 0.024  13.1   0.03    12.551 0.024   12.17  0.022   11.921 0.212   9.243 ""      "2; 6; 28" *  1   0   1   0  0.105    0.01    -0.049   0.01    ""     ""    25   3      6.409  1.56  ""   ""   1      ""     100.0 ""     0.0    TUC-HOR  99.84 TUC-HOR  83.5  TUC-HOR  100.0 TUC-HOR  HLM 1    2M "2MASS J01415823-4633574" 25.49264  -46.56593
  01531463-6744181   ""      L2    12       -      L3       13        beta       ""      12              16.412 0.134  15.109 0.086  14.424 0.103   13.713 0.026   13.216 0.028   12.514 0.28    9.335 ""      "1; 5"     *  0   0   0   0  0.071    0.0037  -0.0166  0.0127  ""     ""    21   7      10.41  2.71  ""   :    "1; 10" >      99.9  <      0.1    TUC-HOR  33.25 TUC-HOR  98.8  TUC-HOR  99.49 TUC-HOR  HLM 0    2M "2MASS J01531463-6744181" 28.31096  -67.73839
  02103857-3015313   ""      L0    10       gamma  L0       10        gamma      a       10              15.066 0.047  14.161 0.044  13.5   0.042   13.003 0.026   12.652 0.026   11.934 0.195   9.355 ""      "5; 27"    *  3   2   1   0  0.145    0.036   -0.04    0.007   ""     ""    32   8      7.82   0.274 ""   ""   1      ""     99.4  ""     0.0    TUC-HOR  96.34 TUC-HOR  56.0  TUC-HOR  100.0 TUC-HOR  HLM 0    2M "2MASS J02103857-3015313" 32.66071  -30.2587 
  02212859-6831400   ""      M8    8        beta   ""       ""        -          ""      8               13.965 0.033  13.275 0.032  12.806 0.037   12.471 0.024   12.192 0.023   11.604 0.107   9.614 ""      27         *  0   0   0   0  0.0539   0.0044  0.0137   0.0045  25.4   3.6   ""   ""     ""     ""    ""   ""   8      ""     0.8   ""     99.4   "AB DOR" 0.0   NONE     84.0  CHA-NEAR 62.0  "AB DOR" AM  1    2M "2MASS J02212859-6831400" 35.36916  -68.5278 
  02215494-5412054   ""      M9    9        beta   ""       ""        -          ""      9               13.902 0.031  13.221 0.031  12.67  0.03    12.325 0.024   11.963 0.022   11.44  0.122   9.481 ""      "1; 13; 27" *  1   0   0   0  0.136    0.01    -0.01    0.017   ""     ""    31   5      10.18  0.097 ""   ""   "1; 2" ""     99.8  ""     0.0    TUC-HOR  99.91 TUC-HOR  61.0  TUC-HOR  100.0 TUC-HOR  HLM 1    2M "2MASS J02215494-5412054" 35.47905  -54.20151
  02235464-5815067   ""      L0    10       gamma  ""       ""        -          ""      10              15.07  0.048  14.003 0.036  13.42  0.042   12.819 0.024   12.431 0.024   11.644 0.154   9.466 ""      2          *  2   0   0   1  0.0986   8.0E-4  -0.0182  9.0E-4  27.4   2.6   ""   ""     10.36  0.23  ""   ""   1      ""     100.0 ""     0.0    TUC-HOR  99.98 TUC-HOR  95.0  TUCHOR   100.0 TUCHOR   BM  1    2M "2MASS J02235464-5815067" 35.97773  -58.25184
  02251947-5837295   ""      M9    9        beta   M9       9         gamma      a       9               13.738 0.025  13.058 0.025  12.56  0.026   12.234 0.024   11.926 0.023   11.994 0.19    9.218 ""      "27; 36"   "" 0   1   0   0  0.085    0.01    -0.03    0.018   ""     ""    ""   ""     ""     ""    ""   ""   2      ""     57.5  ""     1.2    "BETA PIC" 40.52 "AB DOR" 68.0  TUC-HOR  57.0  TUC-HOR  AM  1    2M "2MASS J02251947-5837295" 36.33116  -58.62489
