# 2MASS              f_2MASS OSpT  OSpT_flt OGrav  IRSpT    IRSpT_flt IGrav      f_IRSpT spt_flt_assumed Jmag   e_Jmag Hmag   e_Hmag Ksmag  e_Ksmag W1mag  e_W1mag W2mag  e_W2mag W3mag  e_W3mag W4mag e_W4mag Ref        Nm Nrv Nir Npm Np pmRA     e_pmRA  pmDE     e_pmDE  Plx    e_Plx Dist e_Dist RV     e_RV  E_RV u_RV Ref2   l_PBII PBII  l_CBII CBII   GBII     PL    GL       PC    GC       PBI   GBI      Mm  MCat 2M SimbadName                _RA       _DE      
  15291017+6312539   ""      ""    ""       -      M8       8         beta       ""      8               11.643 0.021  10.937 0.028  10.554 0.023   10.29  0.023   10.058 0.021   9.719  0.027   9.241 0.331   5          "" 0   0   0   0  -0.1132  0.0033  0.0447   0.0091  ""     ""    ""   ""     ""     ""    ""   ""   10     ""     24.6  ""     79.2   "AB DOR" 0.0   NONE     81.4  "AB DOR" 93.16 "AB DOR" AM  0    2M "2MASS J15291017+6312539" 232.29242 63.21503 
  15382417-1953116   ""      L4    14       gamma  L4       14        gamma      a       14              15.934 0.063  14.852 0.06   14.0   0.048   13.172 0.027   12.721 0.029   11.369 0.177   8.808 ""      "27; 36"   "" 0   2   1   0  0.026    0.007   -0.045   0.007   ""     ""    ""   ""     ""     ""    ""   ""   1      ""     0.0   ""     100.0  "BETA PIC" 0.0   NONE     0.0   NONE     100.0 OLD      NM  0    2M "2MASS J15382417-1953116" 234.60072 -19.88656
  15470557-1626303A  ""      ""    ""       -      M9       9         beta       ""      9               13.864 0.029  13.243 0.029  12.735 0.027   12.437 0.024   12.144 0.026   11.715 ""      8.549 ""      5          "" 0   0   0   0  -0.0539  0.0087  -0.1253  0.009   ""     ""    ""   ""     ""     ""    ""   ""   10     ""     10.6  ""     63.4   "AB DOR" 0.0   NONE     97.1  "AB DOR" 78.03 "AB DOR" AM  0    2M "2MASS J15470557-1626303" 236.77324 -16.44178
  15474719-2423493   ""      M9    9        gamma  L0       10        beta       ""      9               13.97  0.026  13.271 0.032  12.74  0.023   12.407 0.025   12.105 0.032   12.111 ""      8.739 ""      1          "" 1   0   1   0  -0.135   0.009   -0.127   0.008   ""     ""    ""   ""     -6.52  0.35  ""   ""   1      ""     0.0   ""     98.8   "BETA PIC" 34.23 "AB DOR" 17.0  TUC-HOR  97.0  OLD      NM  1    2M "2MASS J15474719-2423493" 236.94662 -24.3971 
  15515237+0941148   ""      L4    14       gamma  >L5      >15       gamma      a       14              16.319 0.11   15.114 0.071  14.31  0.057   13.6   0.025   13.121 0.03    12.677 0.478   9.156 ""      "1; 27"    "" 0   1   0   0  -0.07    0.022   -0.05    0.022   ""     ""    ""   ""     ""     ""    ""   ""   2      ""     0.1   ""     99.1   "AB DOR" 94.65 "COMA BER" 100.0 "BETA PIC" 93.0  OLD      AM  1    2M "2MASS J15515237+0941148" 237.96825 9.68747  
  15525906+2948485   ""      L0    10       beta   L0       10        beta       ""      10              13.478 0.023  12.606 0.024  12.02  0.026   11.544 0.023   11.207 0.02    10.664 0.049   9.003 ""      "2; 6"     *  1   0   0   1  -0.162   0.01    -0.06    0.01    48.8   2.7   ""   ""     -18.43 0.11  ""   ""   "1; 14" ""     0.0   ""     92.7   "AB DOR" 21.95 HER-LYRr 19.0  TUC-HOR  80.0  OLD      AM  1    2M "2MASS J15525906+2948485" 238.24609 29.81349 
  15575011-2952431   ""      M9    9        delta  L1       11        gamma      a       9               16.316 0.119  15.45  0.104  14.85  0.111   14.435 0.037   14.066 0.058   12.154 0.344   8.668 ""      "15; 6; 27" "" 0   1   1   0  -0.01    0.012   -0.028   0.012   ""     ""    ""   ""     ""     ""    ""   ""   1      ""     0.0   ""     100.0  "BETA PIC" 0.0   NONE     100.0 "AB DOR" 100.0 OLD      NM  1    2M "2MASS J15575011-2952431" 239.45881 -29.87864
  16154255+4953211   ""      L4    14       gamma  L3-L6    13-16     gamma      ""      14              16.789 0.137  15.332 0.098  14.31  0.069   13.202 0.024   12.621 0.022   12.131 0.13    9.305 ""      "3; 6"     "" 1   0   1   0  -0.08    0.012   0.018    0.012   ""     ""    ""   ""     -25.59 3.18  ""   ""   1      ""     13.7  ""     69.0   "AB DOR" 31.82 "AB DOR" 92.0  COLUMBA  63.0  "AB DOR" AM  1    2M "2MASS J16154255+4953211" 243.9273  49.88921 
  17111353+2326333   ""      L0    10       gamma  L1       11        beta       a       10              14.499 0.024  13.668 0.03   13.06  0.026   12.581 0.024   12.226 0.024   11.662 0.152   9.334 ""      "3; 6; 27" "" 1   1   1   0  -0.063   0.015   -0.035   0.012   ""     ""    ""   ""     -20.69 0.75  ""   ""   1      ""     0.0   ""     100.0  "BETA PIC" 0.0   NONE     94.0  "BETA PIC" 96.0  "BETA PIC" NM  1    2M "2MASS J17111353+2326333" 257.80634 23.44257 
  17260007+1538190   ""      L3.5  13.5     gamma  L3       13        gamma      a       13.5            15.669 0.063  14.465 0.045  13.66  0.049   13.071 0.025   12.694 0.026   11.556 0.157   9.309 ""      "5; 27"    *  1   1   0   0  -0.0431  0.0071  -0.0557  0.0052  28.6   2.9   ""   ""     -20.54 0.84  ""   ""   "1; 6" ""     0.0   ""     99.8   "AB DOR" 0.0   NONE     65.0  "BETA PIC" 80.0  OLD      NM  1    2M "2MASS J17260007+1538190" 261.50033 15.63861 
  17410280-4642218   ""      ""    ""       -      L6-L8    16-18     gamma      a       17              15.786 0.075  14.534 0.054  13.438 0.035   12.301 0.025   11.675 0.023   11.432 0.19    8.541 ""      "5; 27"    "" 0   1   0   0  -0.0204  0.0092  -0.343   0.0137  ""     ""    ""   ""     -5.7   5.1   ""   ""   20     ""     99.7  ""     1.8    "BETA PIC" 78.78 ARGUS    94.0  "BETA PIC" 100.0 "BETA PIC" AM  0    2M "2MASS J17410280-4642218" 265.2617  -46.70607
  18212815+1414010   ""      L4.5  14.5     -      "L4 pec" 14        ""         a       14.5            13.431 0.021  12.396 0.017  11.65  0.019   10.853 0.023   10.475 0.02    9.928  0.052   9.067 0.534   "27; 29; 30" *  1   1   1   0  0.23027  1.6E-4  -0.24149 1.2E-4  106.65 0.23  ""   ""     9.08   0.17  ""   ""   "1; 22" ""     0.0   ""     100.0  NONE     0.0   NONE     0.0   NONE     100.0 OLD      NM  1    2M "2MASS J18212815+1414010" 275.36732 14.23357 
  19350976-6200473   ""      ""    ""       -      L1       11        gamma      ""      11              16.254 0.105  15.293 0.094  14.724 0.098   14.059 0.029   13.65  0.039   12.881 ""      8.559 ""      5          "" 1   0   0   0  -0.0043  0.0063  -0.0533  0.0162  ""     ""    ""   ""     ""     ""    ""   ""   10     ""     20.8  ""     0.2    TUC-HOR  0.0   NONE     100.0 TUC-HOR  97.32 TUC-HOR  AM  0    2M "2MASS J19350976-6200473" 293.7907  -62.01314
  19355595-2846343   ""      M9    9        gamma  M9       9         gamma      a       9               13.953 0.024  13.18  0.02   12.71  0.028   12.347 0.026   11.91  0.025   10.519 0.076   8.636 ""      "27; 36"   "" 0   1   1   0  0.034    0.012   -0.058   0.012   ""     ""    ""   ""     ""     ""    ""   ""   1      ""     25.3  ""     12.6   ARGUS    0.0   NONE     100.0 CHA-NEAR 93.0  OLD      AM  1    2M "2MASS J19355595-2846343" 293.98318 -28.77623
  19564700-7542270   ""      L0    10       gamma  L2       12        gamma      a       10              16.154 0.102  15.036 0.096  14.23  0.066   13.693 0.027   13.249 0.031   12.678 ""      9.171 ""      "2; 27"    "" 0   1   1   0  0.009    0.012   -0.059   0.012   ""     ""    ""   ""     ""     ""    ""   ""   1      ""     53.3  ""     0.0    TUC-HOR  26.8  TUC-HOR  97.0  COLUMBA  97.0  TUC-HOR  AM  1    2M "2MASS J19564700-7542270" 299.19584 -75.70751
  20004841-7523070   ""      M9    9        gamma  M9       9         gamma      a       9               12.734 0.023  11.967 0.026  11.51  0.024   11.108 0.023   10.797 0.02    10.55  0.069   8.548 ""      "4; 5; 27" *  1   1   1   0  0.069    0.012   -0.11    0.004   ""     ""    31   1      4.397  2.842 ""   ""   1      ""     99.4  ""     3.5    "BETA PIC" 84.05 TUC-HOR  71.0  "BETA PIC" 100.0 "BETA PIC" HLM 1    2M "2MASS J20004841-7523070" 300.20173 -75.38524
  20025073-0521524   ""      L5    15       beta   L5-L7    15-17     gamma      a       15              15.316 0.049  14.278 0.05   13.42  0.035   12.532 0.023   12.09  0.026   11.441 0.209   8.818 ""      "3; 5; 27" "" 0   1   1   0  -0.098   0.005   -0.11    0.008   ""     ""    ""   ""     ""     ""    ""   ""   1      ""     0.0   ""     47.8   "BETA PIC" 0.0   NONE     0.0   NONE     100.0 OLD      NM  0    2M "2MASS J20025073-0521524" 300.7113  -5.36461 
  20113196-5048112   ""      ""    ""       -      L3       13        gamma      ""      13              16.423 0.109  15.257 0.081  14.577 0.082   14.009 0.031   13.668 0.038   12.431 ""      9.084 ""      5          "" 0   0   0   0  0.0213   0.0081  -0.0713  0.0145  ""     ""    ""   ""     ""     ""    ""   ""   10     ""     42.6  <      0.1    TUC-HOR  0.0   NONE     96.5  COLUMBA  66.53 TUC-HOR  AM  0    2M "2MASS J20113196-5048112" 302.88318 -50.80311
  20135152-2806020   ""      M9    9        gamma  L0       10        gamma      a       9               14.242 0.028  13.461 0.027  12.94  0.026   12.525 0.028   12.163 0.027   11.877 0.276   8.663 ""      "1; 6; 27" "" 1   2   1   0  0.043    0.012   -0.068   0.012   ""     ""    ""   ""     -6.53  0.24  ""   ""   1      ""     77.6  ""     39.5   "BETA PIC" 28.94 "BETA PIC" 100.0 "BETA PIC" 100.0 "BETA PIC" AM  1    2M "2MASS J20135152-2806020" 303.46471 -28.10061
  20282203-5637024   ""      ""    ""       -      M8.5     8.5       gamma      ""      8.5             13.837 0.021  13.243 0.027  12.71  0.027   12.472 0.022   12.173 0.024   12.298 0.315   8.669 ""      5          "" 0   0   0   0  0.0233   0.0053  -0.0604  0.0106  ""     ""    ""   ""     ""     ""    ""   ""   10     ""     44.3  <      0.1    TUC-HOR  0.0   NONE     94.6  "AB DOR" 69.85 TUC-HOR  AM  0    2M "2MASS J20282203-5637024" 307.09179 -56.61735
  20334473-5635338   ""      ""    ""       -      L0       10        gamma      ""      10              15.718 0.088  15.137 0.109  14.244 0.081   13.817 0.027   13.415 0.034   12.376 ""      9.27  ""      5          "" 0   0   0   0  0.016    0.0061  -0.0731  0.0125  ""     ""    ""   ""     ""     ""    ""   ""   10     ""     93.4  <      0.1    TUC-HOR  0.0   NONE     81.7  TUC-HOR  99.85 TUC-HOR  AM  0    2M "2MASS J20334473-5635338" 308.43641 -56.59274
  20391314-1126531   ""      M8    8        -      M7       7         beta       ""      8               13.792 0.024  13.129 0.038  12.68  0.028   12.465 0.023   12.166 0.024   12.596 0.538   9.04  ""      "7; 5"     "" 0   0   0   0  0.0485   0.009   -0.0898  0.009   ""     ""    ""   ""     ""     ""    ""   ""   10     ""     2.2   ""     46.6   "AB DOR" 0.0   NONE     100.0 COLUMBA  71.24 "AB DOR" AM  0    2M "2MASS J20391314-1126531" 309.80474 -11.44815
  20575409-0252302   ""      L1.5  11.5     -      L2       12        beta       ""      11.5            13.121 0.021  12.268 0.022  11.724 0.023   11.261 0.022   10.981 0.02    10.431 0.079   8.906 ""      "7; 25; 27" *  0   0   0   0  0.0016   0.0038  -0.0863  0.0039  70.1   3.7   ""   ""     -24.68 0.61  ""   ""   8      ""     0.0   ""     100.0  TUC-HOR  0.0   NONE     0.0   NONE     100.0 OLD      NM  1    2M "2MASS J20575409-0252302" 314.47539 -2.87507 
  21140802-2251358   b;c     ""    ""       -      L6-L8    16-18     gamma      a       17              17.294 0.08   15.624 0.04   14.435 0.04    13.216 0.026   12.461 0.031   11.838 0.358   8.581 ""      "9; 27"    *  0   1   0   0  0.1373   0.0013  -0.1387  0.0014  40.7   2.4   ""   ""     -6.0   1.1   0.8  ""   "21; 23" ""     99.7  ""     0.1    "BETA PIC" 60.77 ARGUS    99.0  "BETA PIC" 100.0 "BETA PIC" BM  1    2M "2MASS J21140802-2251358" 318.53344 -22.85996
  21265040-8140293   e       L3    13       gamma  L3       13        gamma      a       13              15.542 0.055  14.405 0.053  13.55  0.041   12.91  0.024   12.472 0.023   11.885 0.161   9.357 ""      "2; 27"    *  1   2   0   1  0.0556   0.0014  -0.1018  0.003   31.3   2.6   ""   ""     10.03  0.49  ""   ""   1      ""     9.3   ""     1.4    "BETA PIC" 76.51 "BETA PIC" 26.0  CHA-NEAR 94.0  TUC-HOR  AM  1    2M "2MASS J21265040-8140293" 321.70991 -81.67477
  21324036+1029494   ""      ""    ""       -      L4       14        beta       ""      14              16.594 0.138  15.366 0.113  14.634 0.1     14.03  0.033   13.578 0.042   12.383 0.379   8.512 ""      5          "" 0   0   0   0  0.1078   0.0164  0.0297   0.0181  ""     ""    ""   ""     ""     ""    ""   ""   10     ""     30.8  ""     61.6   ARGUS    0.0   NONE     92.8  CHA-NEAR 53.44 ARGUS    AM  0    2M "2MASS J21324036+1029494" 323.16817 10.49708 
  21543454-1055308   ""      L4    14       beta   L5       15        gamma      a       14              16.44  0.121  15.069 0.082  14.2   0.068   13.367 0.026   12.917 0.029   12.054 0.316   8.426 ""      "22; 27"   "" 0   1   1   0  0.175    0.012   0.009    0.012   ""     ""    ""   ""     ""     ""    ""   ""   1      ""     16.3  ""     5.6    ARGUS    0.0   NONE     29.0  CHA-NEAR 70.0  ARGUS    AM  0    2M "2MASS J21543454-1055308" 328.64393 -10.92523
  21544859-7459134   ""      ""    ""       -      M9.5     9.5       beta       ""      9.5             14.288 0.029  13.568 0.042  13.084 0.032   12.708 0.025   12.376 0.025   11.991 0.211   8.913 ""      5          *  0   0   0   0  0.0407   0.0022  -0.0796  0.0122  ""     ""    21   7      6.21   3.1   ""   :    "1; 10" ""     99.4  <      0.1    TUC-HOR  44.34 TUC-HOR  100.0 TUC-HOR  99.94 TUC-HOR  HLM 0    2M "2MASS J21544859-7459134" 328.7026  -74.98709
  21572060+8340575   ""      L0    10       -      M9       9         gamma      ""      10              13.972 0.026  13.066 0.033  12.584 0.025   12.088 0.023   11.681 0.021   11.007 0.079   8.762 ""      5          "" 0   0   0   0  0.1248   8.0E-4  0.0441   0.0154  ""     ""    ""   ""     ""     ""    ""   ""   10     ""     30.8  ""     62.9   "AB DOR" 0.0   NONE     63.3  "AB DOR" 84.0  "AB DOR" AM  0    2M "2MASS J21572060+8340575" 329.33625 83.68266 
  22025794-5605087   ""      ""    ""       -      M9       9         gamma      ""      9               14.356 0.034  13.616 0.035  13.16  0.036   12.809 0.025   12.555 0.025   11.728 0.18    9.322 ""      5          "" 0   0   0   0  0.0496   0.0052  -0.0696  0.0103  ""     ""    ""   ""     ""     ""    ""   ""   10     ""     98.4  <      0.1    TUC-HOR  32.49 TUC-HOR  41.7  TUC-HOR  98.75 TUC-HOR  AM  0    2M "2MASS J22025794-5605087" 330.74146 -56.08576
  22064498-4217208   ""      L4    14       gamma  L4       14        gamma      a       14              15.555 0.065  14.447 0.061  13.61  0.055   12.823 0.024   12.376 0.025   11.887 0.222   9.259 ""      "5; 27"    *  0   3   1   0  0.128    0.013   -0.181   0.008   ""     ""    35   2      7.6    2.0   ""   :    1      ""     99.1  ""     1.4    "AB DOR" 41.75 "AB DOR" 89.0  "AB DOR" 96.0  "AB DOR" HLM 1    2M "2MASS J22064498-4217208" 331.68749 -42.28921
  22081363+2921215   ""      L3    13       gamma  L3       13        gamma      ""      13              15.797 0.084  14.793 0.07   14.15  0.073   13.354 0.027   12.888 0.027   12.584 0.391   9.298 ""      "14; 5"    *  1   0   0   0  0.0907   0.003   -0.0162  0.0037  21.2   0.7   ""   ""     -15.59 1.93  ""   ""   "1; 6" ""     0.2   ""     91.2   "BETA PIC" 0.0   NONE     99.0  TWHYA    66.0  "BETA PIC" NM  1    2M "2MASS J22081363+2921215" 332.05679 29.35597 
  22134491-2136079   ""      L0    10       gamma  L0       10        gamma      ""      10              15.376 0.032  14.404 0.055  13.76  0.038   13.229 0.027   12.832 0.029   11.552 0.203   9.07  ""      "14; 6"    "" 1   0   0   0  0.06     0.011   -0.063   0.017   ""     ""    ""   ""     -4.92  4.18  ""   ""   "1; 2" ""     35.4  ""     45.8   "BETA PIC" 0.0   NONE     100.0 COLUMBA  72.0  "BETA PIC" AM  1    2M "2MASS J22134491-2136079" 333.43715 -21.60229
  22351658-3844154   ""      ""    ""       -      L1.5     11.5      gamma      ""      11.5            15.183 0.051  14.272 0.046  13.631 0.044   13.007 0.024   12.647 0.027   12.535 0.436   8.773 ""      5          *  0   0   0   0  0.0505   0.0078  -0.0757  0.0109  ""     ""    22   2      -4.9   3.1   ""   :    10     ""     96.2  <      0.1    TUC-HOR  20.7  TUC-HOR  93.6  TUC-HOR  94.01 TUC-HOR  HLM 0    2M "2MASS J22351658-3844154" 338.81911 -38.73763
  22353560-5906306   ""      ""    ""       -      M8.5     8.5       beta       ""      8.5             14.281 0.029  13.592 0.037  13.168 0.032   12.691 0.024   12.363 0.026   12.08  0.309   9.094 ""      5          *  0   0   0   0  0.0556   0.0051  -0.081   0.0108  ""     ""    23   5      1.71   3.14  ""   :    "1; 10" ""     99.8  <      0.1    TUC-HOR  50.74 TUC-HOR  99.7  TUC-HOR  99.95 TUC-HOR  HLM 0    2M "2MASS J22353560-5906306" 338.89839 -59.1085 
  22443167+2043433   ""      L6.5p 16.5p    -      L6-L8    16-18     gamma      a       16.5            16.476 0.14   14.999 0.065  14.022 0.073   12.777 0.024   12.108 0.024   11.136 0.115   9.301 ""      "14; 6; 27" *  0   1   0   0  0.252    0.014   -0.214   0.011   ""     ""    54   4      -15.5  1.7   ""   :    "1; 2" ""     99.4  ""     0.5    "AB DOR" 38.38 "AB DOR" 69.0  "AB DOR" 99.0  "AB DOR" HLM 1    2M "2MASS J22443167+2043433" 341.13197 20.72869 
  22495345+0044046   ""      L4    14       gamma  L3       13        beta       a       14              16.587 0.124  15.421 0.109  14.36  0.07    13.576 0.027   13.144 0.05    11.284 ""      7.687 ""      "14; 6; 27" "" 1   1   0   0  0.075    0.018   0.026    0.018   ""     ""    ""   ""     -3.26  0.9   ""   ""   "1; 2" ""     0.2   ""     96.1   ARGUS    0.0   NONE     61.0  CHA-NEAR 100.0 OLD      NM  1    2M "2MASS J22495345+0044046" 342.47275 0.73464  
  23153135+0617146   ""      L0    10       gamma  L0       10        gamma      a       10              15.861 0.082  14.757 0.069  14.07  0.063   13.552 0.026   13.095 0.031   11.671 0.23    8.592 ""      "27; 36"   "" 1   2   1   0  0.056    0.012   -0.039   0.012   ""     ""    ""   ""     -14.69 0.52  ""   ""   1      ""     0.0   ""     99.6   COLUMBA  0.0   NONE     92.0  COLUMBA  100.0 OLD      NM  0    2M "2MASS J23153135+0617146" 348.88066 6.2874   
  23224684-3133231   ""      L0    10       beta   L2       12        beta       ""      10              13.577 0.027  12.789 0.023  12.324 0.024   11.974 0.023   11.707 0.023   11.253 0.128   9.153 ""      "1; 6"     *  1   0   0   0  -0.1948  0.0074  -0.5273  0.0075  58.6   5.6   ""   ""     33.86  1.11  ""   ""   "1; 8" ""     0.0   ""     54.5   "AB DOR" 0.0   NONE     0.0   NONE     100.0 OLD      NM  1    2M "2MASS J23224684-3133231" 350.69512 -31.55652
  23225299-6151275   ""      L2    12       gamma  L3       13        gamma      a       12              15.545 0.061  14.535 0.062  13.86  0.042   13.243 0.026   12.841 0.029   12.679 0.391   9.378 ""      "2; 5; 27" *  2   0   1   0  0.062    0.01    -0.085   0.009   ""     ""    22   1      6.747  0.75  ""   ""   1      ""     99.9  ""     0.0    TUC-HOR  98.88 TUC-HOR  34.0  TUC-HOR  100.0 TUC-HOR  HLM 1    2M "2MASS J23225299-6151275" 350.72086 -61.85764
  23231347-0244360   ""      M8.5  8.5      -      M8       8         beta       ""      8.5             13.58  0.023  12.925 0.03   12.481 0.026   12.237 0.025   11.954 0.024   12.228 0.391   8.512 ""      "3; 5"     "" 0   0   0   0  0.0859   0.0097  -0.0435  0.0106  ""     ""    ""   ""     ""     ""    ""   ""   10     ""     30.6  ""     54.4   "BETA PIC" 0.0   NONE     99.9  TWHYA    55.28 OLD      AM  0    2M "2MASS J23231347-0244360" 350.80619 -2.74334 
  23255604-0259508   ""      L3    13       -      L1       11        gamma      ""      13              15.961 0.077  14.935 0.069  14.115 0.056   13.695 0.027   13.348 0.034   11.883 ""      8.677 ""      "16; 5"    "" 0   0   0   0  0.0783   0.0127  -0.0958  0.011   ""     ""    ""   ""     ""     ""    ""   ""   10     ""     73.4  ""     12.3   "AB DOR" 21.28 "AB DOR" 91.2  "AB DOR" 98.5  "AB DOR" AM  0    2M "2MASS J23255604-0259508" 351.48352 -2.99747 
  23360735-3541489   ""      ""    ""       -      M9       9         beta       ""      9               14.651 0.025  13.809 0.025  13.385 0.041   13.002 0.024   12.647 0.026   12.518 0.418   9.177 ""      5          "" 0   0   0   0  0.0696   0.0082  -0.0807  0.0099  ""     ""    ""   ""     ""     ""    ""   ""   10     ""     50.8  ""     30.3   "AB DOR" 30.17 TUC-HOR  74.5  "AB DOR" 60.89 TUC-HOR  AM  0    2M "2MASS J23360735-3541489" 354.03059 -35.69693
  23433470-3646021   ""      ""    ""       -      L3-L6    13-16     gamma      ""      14.5            16.568 0.13   15.011 0.063  14.194 0.064   13.121 0.024   12.612 0.027   11.698 0.188   9.138 ""      5          "" 0   0   0   0  0.087    0.0083  -0.0987  0.0125  ""     ""    ""   ""     ""     ""    ""   ""   10     ""     68.9  ""     4.8    "AB DOR" 38.46 TUC-HOR  65.9  "AB DOR" 56.17 TUC-HOR  AM  0    2M "2MASS J23433470-3646021" 355.89461 -36.76728
  23453903+0055137   ""      M9    9        -      M9       9         beta       ""      9               13.771 0.027  13.117 0.026  12.581 0.028   12.212 0.025   11.879 0.023   11.465 0.203   8.941 ""      "1; 5"     "" 0   0   0   0  0.0841   0.0134  -0.0461  0.0117  ""     ""    ""   ""     ""     ""    ""   ""   10     ""     ""    ""     ""     FIELD    0.0   NONE     99.6  "BETA PIC" 40.39 COLUMBA  AM  0    2M "2MASS J23453903+0055137" 356.41263 0.92048  
  23520507-1100435   ""      M7    7        -      M8       8         beta       ""      7               12.84  0.018  12.166 0.02   11.742 0.018   11.44  0.025   11.146 0.022   10.849 0.109   8.877 ""      "3; 5"     "" 0   0   0   0  0.0881   0.009   -0.1145  0.0085  ""     ""    ""   ""     ""     ""    ""   ""   10     ""     90.6  ""     4.0    "AB DOR" 27.22 "AB DOR" 57.2  "AB DOR" 97.85 "AB DOR" AM  0    2M "2MASS J23520507-1100435" 358.02114 -11.01222
