# name                         ra_j2000_formula dec_j2000_formula gucds_shortname ref_discovery                    multiplesystem_unresolved_in_this_table multiplesystem_resolved_in_this_table     youth_evidence      age_category                 designation_2mass        ra_epoch_2mass dec_epoch_2mass epoch_2mass J_2MASS Jerr_2MASS ref_J_2MASS H_2MASS Herr_2MASS ref_H_2MASS Ks_2MASS Kserr_2MASS ref_Ks_2MASS  Cflg_2MASS designation_MKO             Y_MKO   Yerr_MKO ref_Y_MKO      J_MKO   Jerr_MKO ref_J_MKO     H_MKO   Herr_MKO ref_H_MKO      K_MKO  Kerr_MKO ref_K_MKO     designation_WISE           ra_j2000_WISE dec_j2000_WISE W1     W1err W2     W2err W3     W3err W4     W4err ch1    ch1err ch2    ch2err ref_Spitzer    spt_opt       ref_spt_opt spt_ir             ref_spt_ir     spt_opt_flt spt_ir_flt spt_adop_flt plx_formula plxerr_formula ref_plx_formula banyan_sigma_max_hypo_young banyan_sigma_max_prob_young
  "2MASS J00054844-2157196"    1.4519           -21.9555          J0005-2157      Reyl04                           N                                       N                                         N                   Field                        "2MASS J00054844-2157196" 1.451841       -21.955463      1999-07-20  13.274  0.025      Cutr03      12.617  0.024      Cutr03      12.201   0.03        Cutr03        000        ""                          14.071  0.056    Best21         13.238  0.025    Best21        12.677  0.024    Best21         12.178 0.03     Best21        "CWISE J000549.34-215721.9" 1.4518008     -21.9555203    11.94  0.015 11.668 0.011 11.312 0.168 8.83   ""    ""     ""     ""     ""     ""             M9            Reid08b     ""                 ""             79.0        ""         79.0         39.38       0.15           Gaia23          TAU                         0.0                        
  "ULAS J000613.24+154020.7"   1.5552           15.6723           J0006+1540      DayJ13                           N                                       N                                         N                   Field                        ""                       ""             ""              ""          ""      ""         ""          ""      ""         ""          ""       ""          ""            ""         "ULAS J000613.24+154020.7"  18.954  0.079    Lawr12         17.876  0.052    Lawr12        16.713  0.037    Lawr12         16.143 0.036    Lawr12        "CWISE J000613.31+154020.5" 1.5547688     15.6725776     15.331 0.019 14.773 0.025 12.026 ""    8.407  ""    ""     ""     ""     ""     ""             ""            ""          L9                 DayJ13         ""          89.0       89.0         ""          ""             ""              ARG                         0.282                      
  "SDSS J000614.06+160454.5"   1.5586           16.0818           J0006+1604      Zhan10                           N                                       N                                         N                   Field                        "2MASS J00061406+1604546" 1.558593       16.081861       1997-07-12  16.591  0.128      Cutr03      15.838  0.156      Cutr03      15.091   0.156       Cutr03        000        "ULAS J000614.05+160454.2"  17.556  0.021    Lawr12         16.555  0.015    WFAU19        15.876  0.016    Lawr12         15.324 0.017    WFAU19        "CWISE J000614.07+160453.9" 1.5585013     16.0818471     15.097 0.017 14.917 0.026 12.264 ""    8.722  ""    ""     ""     ""     ""     ""             L0            Zhan10      ""                 ""             80.0        ""         80.0         ""          ""             ""              ABDMG                       0.0                        
  "2MASSI J0006205-172051"     1.5854           -17.3475          J0006-1720      Kend03a                          N                                       N                                         N                   Field                        "2MASS J00062050-1720506" 1.585453       -17.347412      1998-07-20  15.662  0.065      Cutr03      14.646  0.052      Cutr03      14.01    0.052       Cutr03        000        ""                          16.87   0.082    Best21         15.607  0.065    Best21        14.723  0.052    Best21         13.988 0.052    Best21        "CWISE J000620.45-172050.6" 1.5854357     -17.34743      13.466 0.015 13.163 0.011 12.334 0.41  8.864  ""    ""     ""     ""     ""     ""             L2.5          Kend03a     L3.0               Bard14         82.5        83.0       82.5         25.2        1.9            Gaia23          USCO                        0.0                        
  "2MASS J00062250+1300451"    1.5937           13.0125           J0006+1300      Kell17                           N                                       N                                         N                   Field                        "2MASS J00062250+1300451" 1.593781       13.012551       1997-07-12  16.956  0.169      Cutr03      15.932  0.121      Cutr03      15.252   0.18        Cutr03        000        "ULAS J000622.50+130044.3"  18.102  0.031    Lawr12         16.785  0.019    Lawr12        ""      ""       ""             15.204 0.015    Lawr12        "CWISE J000622.51+130044.1" 1.5936314     13.0124468     14.825 0.017 14.612 0.023 12.3   ""    9.066  ""    ""     ""     ""     ""     ""             ""            ""          L2                 Kell17         ""          82.0       82.0         ""          ""             ""              ABDMG                       0.0                        
  "WISEA J000622.67-131955.2"  1.5953           -13.3308          J0006-1319      Luhm14c                          N                                       N                                         N                   Field                        "2MASS J00062287-1319503" 1.595294       -13.330645      1998-07-20  16.674  0.126      Cutr03      15.548  0.127      Cutr03      15.115   0.127       Cutr03        000        ""                          17.763  0.122    usyn24         16.7    0.11     Robe16        15.81   0.09     Robe16         14.86  0.04     Robe16        "CWISE J000622.59-131957.7" 1.5952255     -13.3307869    14.212 0.013 13.803 0.014 12.261 ""    9.049  ""    ""     ""     ""     ""     ""             ""            ""          "L5 pec"           Luhm14c        ""          85.0       85.0         ""          ""             ""              USCO                        0.0                        
  "WISEA J000627.85+185728.8"  1.6158           18.9587           J0006+1857      Schn16a                          N                                       N                                         N                   Field                        "2MASS J00062779+1857320" 1.615817       18.958893       1999-11-24  17.138  0.206      Cutr03      15.686  0.152      Cutr03      14.836   0.084       Cutr03        000        ""                          ""      ""       ""             16.875  0.02     Schn23b       ""      ""       ""             14.837 0.011    Schn23b       "CWISE J000627.86+185727.5" 1.6158437     18.9587726     14.099 0.013 13.812 0.014 12.029 ""    8.377  ""    ""     ""     ""     ""     ""             ""            ""          L7                 Schn16a        ""          87.0       87.0         ""          ""             ""              UCL                         0.0                        
  "SIMP J00063158-2158225"     1.6317           -21.9724          ""              Robe16                           N                                       N                                         N                   Field                        "2MASS J00063158-2158225" 1.631607       -21.972935      1999-07-20  16.832  0.179      Cutr03      16.243  0.241      Cutr03      15.444   0.174       Cutr03        000        ""                          ""      ""       ""             ""      ""       ""            ""      ""       ""             ""     ""       ""            "CWISE J000631.58-215821.2" 1.6316505     -21.9725592    15.48  0.022 15.224 0.035 12.59  ""    8.938  ""    ""     ""     ""     ""     ""             ""            ""          "M9:: pec"         Robe16         ""          79.0       79.0         ""          ""             ""              ABDMG                       0.0                        
  "SDSS J000632.60+140606.3"   1.6358           14.1018           J0006+1406      West08                           N                                       N                                         N                   Field                        "2MASS J00063258+1406064" 1.635782       14.101788       1997-07-12  15.849  0.062      Cutr03      15.302  0.147      Cutr03      15.06    0.147       Cutr03        000        "ULAS J000632.63+140606.6"  16.904  0.012    Lawr12         15.9    0.007    Lawr12        15.263  0.01     Lawr12         14.722 0.01     Lawr12        "CWISE J000632.69+140606.6" 1.6358811     14.1018138     14.303 0.016 14.05  0.016 11.703 ""    8.491  ""    ""     ""     ""     ""     ""             L0            West08      L0.4               Bard14         80.0        80.4       80.0         ""          ""             ""              ARG                         0.015                      
  "SDSS J000646.81+151225.8"   1.695            15.2072           J0006+1512      Zhan10                           N                                       N                                         N                   Field                        "2MASS J00064683+1512260" 1.695151       15.207245       1997-07-12  16.221  0.092      Cutr03      15.247  0.123      Cutr03      14.811   0.123       Cutr03        000        "ULAS J000646.79+151225.7"  17.566  0.019    Lawr12         16.215  0.01     Lawr12        15.379  0.009    Lawr12         14.7   0.01     Lawr12        "CWISE J000646.76+151225.3" 1.6950496     15.2072339     14.145 0.014 13.886 0.014 12.182 ""    8.256  ""    ""     ""     ""     ""     ""             ""            ""          L4.3               Bard14         ""          84.3       84.3         ""          ""             ""              USCO                        0.0                        
